iso_a3,country,Inequality index,GDP,male,female,wage_gap
QAT,Qatar,0.195,80195.87465,,,
ROU,Romania,0.227,18404.27309,,,
RUS,Russian Federation,0.169,13817.0459,,,
RWA,Rwanda,0.394,1010.26893,264.898,222.757,42.141
SAU,Saudi Arabia,0.228,32093.9623,,,
SDN,Sudan,0.588,2183.44141,,,
SEN,Senegal,0.49,1706.44218,459.045,134.68,324.365
SGP,Singapore,0.031,84734.25592,,,
SLB,Solomon Islands,0.478,2041.63649,,,
SLE,Sierra Leone,0.566,757.85834,,,
SLV,El Salvador,0.362,5391.06926,611.32,722.605,-111.285
SOM,Somalia,0.675,597.45885,,,
SRB,Serbia,0.117,12281.50585,,,
STP,Sao Tome and Principe,0.492,2940.93353,,,
SUR,Suriname,0.391,5494.07409,,,
SVK,Slovakia,0.176,24491.37719,,,
SVN,Slovenia,0.042,32610.11092,,,
SWE,Sweden,0.007,55516.83648,,,
SWZ,Eswatini (Kingdom of),0.484,3610.6088,,,
TCD,Chad,0.67,680.63988,,,
TGO,Togo,0.564,985.69751,,,
THA,Thailand,0.288,7182.02526,861.622,792.255,69.367
TJK,Tajikistan,0.258,1160.81187,,,
TLS,Timor-Leste,0.394,1502.51964,,,
TON,Tonga,0.444,,795.609,644.843,150.766
TTO,Trinidad and Tobago,0.262,20016.1503,,,
TUN,Tunisia,0.238,3977.69517,,,
TUR,Turkiye,0.227,13105.65857,973.68,858.24,115.44
TZA,Tanzania (United Republic of),0.504,1224.48962,,,
UGA,Uganda,0.524,1002.30914,,,
URY,Uruguay,0.218,22797.81117,2126.666,1567.762,558.904
USA,United States,0.169,82769.41221,8088.176,5599.23,2488.946
UZB,Uzbekistan,0.291,2849.51461,,,
VNM,Viet Nam,0.299,4282.08852,497.544,362.15,135.394
VUT,Vanuatu,0.556,3515.23634,,,
WSM,Samoa,0.416,4330.17841,,,
YEM,Yemen,0.838,477.40903,,,
ZAF,South Africa,0.388,6022.54254,,,
ZMB,Zambia,0.524,1330.72781,364.488,309.278,55.21
ZWE,Zimbabwe,0.519,2156.034,183.724,185.39,-1.666
